2000;252983.8779,2007760.9774,301725.3128,2024664.9032
2001;411662.2312,1878099.7268,435125.5596,1958871.8451
2002;452621.7039,1678675.7064,484961.7905,1729650.4072
2003;421562.2897,1320799.7981,470601.5355,1385008.4334
2004;373022.4161,1841388.4274,495641.1189,1860393.5602
2005;306378.9884,1889233.6524,343719.0178,1926978.7603
2006;499364.8127,1514280.3081,523333.5898,1560834.6035
2007;475456.7412,1420220.3478,497320.0495,1478899.2576
2008;189876.0804,5163138.6994,419723.9196,5959435.1424
2009;197488.9721,5552134.706,404957.2191,5763611.6727
2010;191001.8239,5222050.4139,418598.1761,5763611.6727
2011;192611.594,5305424.8704,416988.406,6712071.5973
2012;190937.8398,5218715.6506,418662.1602,6553910.252
2013;186517.4891,4984212.189,423082.5109,6865808.3301
2014;186517.4891,4984212.189,423082.5109,6939345.0059
2015;187115.5881,5016437.6619,422484.4119,6939345.0059
2016;284708.1661,5109839.4513,420713.9389,6932659.5794
2017;186127.2836,4962332.192,241056.1426,5074225.1485
2018;183693.3344,4829773.6691,425906.6656,5140909.2069
2019;304800.0,4695383.9306,428287.1917,5096452.4313
2020;214047.5835,4615993.7717,429689.4385,5096452.4313
2021;188613.6096,5096452.4313,420986.3904,6130825.4606
2022;188613.6096,5096452.4313,420986.3904,6156426.256
2023;191151.2423,5229831.5926,418448.7577,6286670.4542
2024;192438.9576,5296531.1029,417161.0424,6304483.4407
2025;192870.9617,5318765.7417,416729.0383,6130825.4606
2026;358784.259,5373617.7076,415643.0271,6130825.4606
2027;276217.0412,5320437.0456,723782.9588,6243300.5986
2028;267699.6323,5098206.2404,732300.3677,6305600.2275
2029;250286.0281,4618384.2954,749713.9719,6143184.9867
2030;257855.1727,4827456.1599,554884.9642,5142647.7951
2031;563880.6813,5109020.8388,731755.2731,6933271.6182
2032;263505.8306,4986001.5779,736494.1694,6939951.089
2033;263505.8306,4986001.5779,736494.1694,6866479.2725
2034;272477.6538,5223759.5729,727522.3462,6712873.4322
2035;285455.3136,5549535.1407,493134.7127,5765070.2899
2036;2297561.8685,7293157.0339,2715931.4121,7678078.6194
2037;261913.1021,4942895.6502,738086.8979,6822156.2988
2038;256262.3745,4787395.0381,743737.6255,6655205.4835
2039;123979.2782,378130.9791,265568.0471,797585.3732
2040;166743.9389,430624.167,556574.202,1158478.8016
2041;166743.9145,430624.3927,556574.1914,1158479.0519
2042;542609.9138,430616.7752,833176.697,1188370.0308
2043;542609.8775,430617.0007,833176.6711,1188370.2816
2044;18189834.9646,664325.4707,18832245.8579,2590980.8116
2045;19168310.7806,774755.0231,19756362.4634,2387028.2738
2056;2485869.5728,1076443.1884,2837076.5648,1299941.7864
2057;648127.8739,3031926.8811,667906.0037,3054087.3595
2058;410209.3331,3424490.1031,786621.995,4409941.4181
2059;199161.8205,2857004.226,800838.1795,4398839.7624
2060;197909.1856,2801586.7573,802090.8144,4237881.4489
2061;197168.6267,2765035.934,537338.3245,4088049.8963
2062;93568.0098,169918.9449,1227661.0463,1043747.4891
2063;270784.2117,705682.0677,831676.9265,1404742.658
2064;167825.4838,705420.6535,649059.4996,1404748.3867
2065;-951370.4446,-1352211.7003,-159556.3438,-912234.3486
2066;65842.102,85375.1146,359136.1573,255873.8055
2067;616964.5202,1110038.4881,729083.6975,1199085.9107
2068;229773.2513,2802403.8194,300676.2055,3370135.8758
2069;97861.3686,2600041.0388,302138.6314,3672845.5287
2070;97329.3791,2522516.9411,302670.6209,3652882.7263
2071;97180.1862,2500368.4223,302819.8138,3616285.712
2072;97106.0582,2489294.3645,302893.9418,3464372.6056
2073;96382.005,2378561.0651,303617.995,3547532.7526
2074;95689.4191,2267840.6633,304310.5809,3652882.7263
